artist,title,album,year,lyrics
The Menzingers,Gates,On the Impossible Past,2012-02-20,"I am the pain that beats through your temples
Every morning when you wake up
I am the boy with alcohol poisoning
From all the parties Chris was throwing
That summer that they took us in
Like every other American
For getting drunk round the back of the Lions' Club
Waiting for the shitty bands to finish up
And some kids played hacky sack while the others just got high

It's not hard to fall for a waitress
When you both smoke, smoke the same cigarettes
You'll get seated as diner's lovers
She'll get the check as friends for the better
You'll carve your names into the Paupack cliffs
Just to read them when you get old enough to know
That happiness is just a moment

So, I'm marching up to your gates today
To throw my lonely soul away
'Cause I don't need it, you can take it back
So, I'm marching up to your gates today
To throw my lonely soul away
'Cause I don't need it, you can take it back

And they will make examples out of us
Like when they caught you in the CVS parking lot
But I fed the liars, I fed the liars
I fed the liars everything I got, everything I got
In my cabinet brain of canned thought
It was everything I got, oh everything I got
In my cabinet brain, in my cabinet brain

So, I'm marching up to your gates today
To throw my lonely soul away
'Cause I don't need it, you can take it back
So, I'm marching up to your gates today
To throw my lonely soul away
'Cause I don't need it, you can take it back

So, I'm marching up to your gates today
To throw my lonely soul away
I don't need it, you can take it back"
The Menzingers,Good Things,On the Impossible Past,2012-02-21,"I've been having a horrible time
Pulling myself together
I've been closing my eyes to find
The old, familiar failures
I've been having a horrible time
Pulling myself together
I've been closing my eyes to find
Why all good things should fall apart
Why all good things should fall apart
Why all good things should fall apart
Why all good things should fall apart
I've been having a horrible time
Pulling myself together
I've been closing my eyes to find
Why all good things should fall apart
Why all good things should fall apart
Why all good things should fall apart
Why all good things should fall apart
Yeah, yeah, yeah
Like when we would take rides
In your American muscle car
I felt American for once in my life
I never felt it again
So all good things should fall apart
So all good things should fall apart
So all good things should fall apart
So all good things should fall apart"
The Menzingers,Hello Exile,Hello Exile,2019-10-04,"Her language was a perfect phrase
Her playful prose followed me for days
Down the alleyways of my desire
To their final resting place

In a vacation town where I lived year round
She migrated here with the summer crowds
And we fell in love under impossible smiles
Life was perfect if just for a little while

Oh oh oh oh oh oh oh
Hello exile

And a thousand years may come and go
We may never meet another soul
Here on our own island of Elba in the Poconos
Oh oh oh oh oh oh oh
Hello exile

And we bathed in the sun
Cut our jeans into shorts
Outstared every star in the sky
Under the cover of nowhere the present was a present
It looked beautiful on you every night

But we knew it would end yeah we knew it all along
It was a future never reconciled
It’s as if letting your shackled heart feel loved was more difficult than total denial

Oh oh oh oh oh oh oh
Hello exile

And a thousand years may come and go
I may never meet another soul
Here on my own island of Elba in the Poconos
Oh oh oh oh oh oh oh
Hello exile

Now I imagined her memory would fade in the void
She’d only reappear every now and again
I’d smile at the thought of us
Go back to my day
But that was purely wishful thinking

Oh oh oh oh oh oh oh
Hello exile

And a thousand years may come and go
I may never meet another soul
Here on my own island of Elba in the Poconos
And just play the last set of my mind
Our passions were real from the summertime
Swimming in the Delaware wringing out your long blonde hair
Oh oh oh oh oh oh oh
Hello exile
Oh oh oh oh oh oh oh
Hello exile"
The Menzingers,High School Friend,Hello Exile,2019-10-04,"Raisin’ hell in Wayne County
With a copper on our tail
Hopin’ that he drives on by me
But knowin’ this town he’ll probably throw us in jail

We’re both so paranoid in our hometown
There's so much unclaimed baggage at the carousels
And though we’re guilty of nothing we feel like fugitives running
Towards the Great White North or a border town in Mexico

There's former you, there's former me
We’re tellin’ tales of revisionist history
I remember the days we couldn’t hardly wait to end

I was getting fucked up with a high school friend
Wonderin’ where all the good times went
I was gettin’ fucked up with a high school friend
Wonderin’ where all the good times went

We left town the minute we turned 18
We moved to different corners of the country
Now we come back for holidays and funerals
So much has changed but Wayne County’s still the same

Drivin’ down 191
There's an old memory of someone
As a little white cross just popping out from the bend

I was getting fucked up with a high school friend
Wonderin’ where all the good times went
I was gettin’ fucked up with a high school friend
Wonderin’ where all the good times went
(Oh oh oh oh oh)

Don’t let the overwhelming sorrow shred all hopes of tomorrow
Don’t let em tell you how to live your life
‘Cause they may never understand but it’s okay because I do
We know all the ups and downs each other have been through

I was getting fucked up with a high school friend
Wonderin’ where all the good times went
I was gettin’ fucked up with a high school friend
Wonderin’ where all the good times went
(Oh oh oh oh oh)"
The Menzingers,House on Fire,After the Party,2017-02-03,"Waiting for your life to start then you die, whoa
Was your heart beating in the first place?
Waiting for your life to start then you die, whoa
Was your heart beating in the first place?
Lost myself in the kitchen
There's an old friend falling down the stairs
He said there's cops in the alleyway
It's too late for saving us
Let it burn down
Waiting for your life to start then you die, whoa
Was your heart beating in the first place?
Waiting for your life to start then you die, whoa
Was your heart beating in the first place?
Found myself in the basement
There's smoke, there's ash over everything
This girl I know, yeah, she's trying to get high
She's telling me, she's telling me
""Let it burn up""
Yeah, does it make you nervous?
Have you fulfilled your purpose?
Yeah, does it make you nervous?
The house is on fire
Yeah, does it make you nervous?
Have you fulfilled your purpose?
Yeah, does it make you nervous?
The house is on fire
There's beer left, so I think I'll stay
Waiting for your life to start then you die, whoa
Was your heart beating in the first place?
Waiting for your life to start then you die, whoa
Was your heart beating in the first place?
We set the house on fire
And we ain't going nowhere
We set the house on fire
And we ain't going nowhere
We set the house on fire
And we ain't going nowhere
We set the house on fire
And we ain't going nowhere"
The Menzingers,I Can’t Seem to Tell,On the Impossible Past,2012-02-21,"One, two, three, four!

Well, the silence hasn't been broken
As we reach the point of utter disgust
As the weeks drag on, the lies unfold
The alcohol loses its touch
And I once held your words close to my heart
With a knife protecting all of them
But now we've made our beds in a deep, dense forest
We're sound, we'll never take the blame

As I dig my hands in the cold, dark dirt
In a search for what's now lost forever
With one last great hope of a messiah
I check the time and admit to the surrender terms
Remember the days when I had a conscience? Yeah, me neither
And I'm warning, I'm warning, I'm warning you
And I'm warning, I'm warning, I'm warning you

That I can't seem to tell
I can't seem to tell, I can't seem to tell
If it's my head or the earth that's spinning around
Well, I can't seem to tell, I can't seem to tell
I can't seem to tell anymore

I can't seem to tell
I can't seem to tell, I can't seem to tell
If it's my head or the earth that's spinning around
I can't seem to tell
I can't seem to tell, I can't seem to tell
No, I can't seem to tell
If it's my head or the earth that's spinning around"
The Menzingers,I Can’t Stop Drinking,Hello Exile,2019-10-04,"Champagne drunk, tomorrow is out of luck
When  the celebrations come to an end
When  the party's over, Sunday morning wakes up sober
Begs for me to start up again
I’m whiskey drunk in the Shop Rite parking lot
I’m  waiting while Anna buys milk and eggs
Sometimes  I wonder why she hasn’t found another
One that her girlfriends would recommend

Our  worst fights are when we get silent
Just a disappointed you shaking your head
When the cards and flowers don’t work
I sleep on the couch when I’m a jerk
What's  gotta give, what's gotta give

‘Cause I know what you’re thinking
That I can’t stop drinking
Every time you try and ask me to
I just throw a fit and storm out of the room
‘Cause I know what you’re thinking

I’m cheap beer drunk in a bar off Passyunk
I’ll be here until the lights come up again
Feel free to join me if you’re bored or feeling lonely
I could sure use the company
I miss you so much when I was your drunk lush
You knew me so well, I knew you half as well
Love’s a cruel, cruel joke when the tools in the shed can’t fix what’s broke
So you leave it broke

‘Cause I know what you’re thinking
That I can’t stop drinking
Every time you try and ask me to
I just throw a fit and storm out of the room
‘Cause I know what you’re thinking"
The Menzingers,I Don’t Wanna Be an Asshole Anymore,Rented World,2014-04-22,"Yeeeeahhhhh!
Last Friday night I wasn't me
I was a still life trapped in eternity
I was the focal point out of focus, out of ink
And I've been wandering nightly
Through the garden of your heartache
Always making a mess, always stumbling out the door
But, I don't wanna be an asshole anymore

Baby, baby I'll be good to you
I don't wanna be an asshole anymore
Baby, baby, I'll be good to you
Baby, baby, I'll be good to you

Another night, I devoured the sun
And plunged myself into the depths of oblivion
Yeah somewhere along the way I found wine
Feels damn good just to bleed sometimes
But all I ever wanted was to make things right
The years of idleness and spite
I push my emotions off a bridge
After taking them hostage with a shotgun
Now they're somewhere treading water
Somewhere lost inside the man that I'm not
But I don't wanna be an asshole anymore

Baby, baby I'll be good to you
I don't wanna be an asshole anymore
Baby, baby, I'll be good to you
I'll be good to you, I'll be good, I'll be good, I'll be good

I won't lie no more about where I've been
And I won't pry no more
Over the people that you're hanging with
You're the only lover that I ever missed
Ever been hopelessly in love with
Look at this tangle of thorns
I don't wanna be an asshole anymore

Yeah, I don't wanna be an asshole anymore
Oh no, no, no"
The Menzingers,In Remission,Rented World,2014-04-22,"I've got a winning lotto ticket
From the state of Massachusetts
Tucked in the back of my wallet
I'll cash it when I'm back in Boston
With a blank eye from the cashier
For why it's torn and busted up

I remember that moment of silence
I was at a mall in Norwich
Shoppers stared at the ground
The escalators went on smoke breaks
Oh 1918, you've yet to see the worst of humans acting

Maybe the future's just a little bit weird
Maybe the God you love is all I've got to fear
Life's a terminal illness in remission
So I took the weight of it all out for a drink
And then we drove back, drunk
Through the busy city streets

I hate how I always get nervous
Every time I try to speak
In front of a big crowd
A pretty girl, or the police
And I hate the things that I know about you
And all the horrible things that you do

I don't want to be late for war today
I want to chew up my dinner and spit in your face
Light fire to your home and tap your cell phone
Oh yeah!

If everyone needs a crutch
Then I need a wheelchair
I need a reason to reason with you
If everyone needs a crutch
Then I need a wheelchair
I need a reason to reason with you
If everyone needs a crutch
Then I need a wheelchair
I need a reason to reason with you
Oh, yeah! Oh, yeah!
Oh, yeah, yeah, yeah, yeah!
Oh, yeah!

If everyone needs a crutch
Then I need a wheelchair
I need a reason to reason with you
If everyone needs a crutch
Then I need a wheelchair
I need a reason to reason with you"
The Menzingers,Last To Know,Hello Exile,2019-10-04,"Jesus Christ be damned
I held the dagger in my hand
I killed another man
Pictures carved in stone
See your reflection in your phone
And know we're not alone

Cemetery walls
Klonopin and alcohol
Tonight I won't start a fight
You barely made a sound
We put your mother in the ground
Some words are never found

Promises were made on an alter in blood
Sacrificial children's voices echo on and on
We're the last to know, we're the last to know

They told us who we are
In spiral ladders to the stars
Collect our memories
We'll be back again
Each time a little different
It ends where it begins

Promises were made on an alter in blood
Sacrificial children's voices echo on and on
We're the last to know, we're the last to know
The last to know"
The Menzingers,Livin’ Ain’t Easy,After the Party,2017-02-03,"In vibrant hues and subtle brush strokes of memory
The life I've painted I've sold for a quick twenty
It's on display now for the privileged and the wealthy
God, I despise their reassuring, lying eyes
Our home stands tall behind that foreclosure sign
Everything in boxes from another lifetime
Continental breakfast in the lobby
But they're always out of coffee
Only a fool would think living could be easy
Only a fool would think living could be easy
This little motel room on I-80 west of nowhere
Why count the stars?
You'll never know where you are
Somewhere light years from the world you used to know
Like a lock that doesn't turn
Like a plant that doesn't grow
Long for the words with hearts and wings
From five states over, I'm running from everything
Continental breakfast in the lobby
But they're always out of coffee
Only a fool would think living could be easy
Only a fool would think living could be easy
Oh you know it breaks my heart
Watching your whole life fall apart
While bastards dance off with the night
As we try to break free with all our might
Only a fool would think living could be easy
Only a fool would think living could be easy
Only a fool would think living could be easy
Only a fool would think living could be easy
In vibrant hues and subtle brush strokes of memory
The life I've painted I've sold for a quick twenty"
The Menzingers,London Drugs,Hello Exile,2019-10-04,"What’s it gonna take to fix me up?
I don’t want your London drugs
Every time I’m with you I take too much
I don’t want your London drugs
Every once in a while when I’m in denial
I wind up doing something I don’t want to do
What’s it gonna take to fix me up?
I don’t want your London drugs

On a rainy night in Soho
The wind was whistling all its charms
I think we overstayed our welcome
They’re giving us the look at the argyll arms
You happened to notice my anxious commotion
As my heart bled through my shirt
I’ve been a little heavy handed keepin’ it at work

What’s it gonna take to fix me up?
I don’t want your London drugs
Every time I’m with you I take too much
I don’t want your London drugs
Every once in a while when I’m in denial
I wind up doing something I don’t want to do
What’s it gonna take to fix me up?
I don’t want your London drugs

My anxiety can sleep easy
The show was everything I hoped it would be
And now we’re sitting in the back of the theater
Binging everything that’s left to drink
‘Cause in a moment it’s over
The high and the thrill
Then I’m leaving here so unfulfilled
Well if I don’t change now I never will

What’s it gonna take to fix me up?
I don’t want your London drugs
Every time I’m with you I take too much
I don’t want your London drugs
Every once in a while when I’m in denial
I wind up doing something I don’t want to do
What’s it gonna take to fix me up?
I don’t want your London drugs

What’s it gonna take to fix me up?
I don’t want your London drugs
'Cause every time I’m with you I take too much
I don’t want your London drugs
What’s it gonna take to fix me up?
I don’t want your London drugs"
The Menzingers,Lookers,After the Party,2016-08-11,"Lost in a picture frame
The way our bodies used to behave
The way we smiled in the moment
Before they permanently froze
But that was the old me and you
When we were both lookers
Lost in a picture frame
The way my body used to behave
The way I smiled in the moment
Before it permanently froze
But that was the old me
I was such a looker in the old days
You little Kerouac
Always running like Dean and Sal
Always waiting on a freight train
Always looking for a story to tell
But that was the old you
You were such a looker in the old days
Yeah! We were both lookers!
Sha la la la
Jersey girls are always total heartbreakers
Julie from the Wonder Bar
I still wonder where you are
Cause I know the old you
And you know the old me
I was certain that I'd find her
In the back of the diner
In a cloud full of nicotine
In a teenage memory
That I hold till eternity
Cause the future ain't coming for it
Yeah! We were both lookers!
Sha la la la
Jersey girls are always total heartbreakers
Julie from the Wonder Bar
I still wonder where you are
Sha la la la
Jersey girls are always total heartbreakers
Julie from the Wonder Bar
I still wonder where you are
Cause I knew the old you
And you knew the old me
When we were both lookers
In a 5""x8"" black and white
On the nightstand of my mind
From a time I hardly recognize
Sha la la la
Jersey girls are always total heartbreakers
Julie from the Wonder Bar
I still wonder where you are
Sha la la la
Jersey girls are always total heartbreakers
Julie from the Wonder Bar
I still wonder where you are
Cause I know the old you
And you know the old me
When we were both lookers"
The Menzingers,Mexican Guitars,On the Impossible Past,2012-02-21,"You were an old friend, the kind I could confide in
And drink with on random neighbors' porch steps
Our glossy eyes painted portraits of the streets

You were an old friend that covered up your innocence
With bad tattoos of all the bands you loved in high school
The ones you said that I had to listen to all the time

I did what I did to get away from this
'Cause everything that's happened has left me a total wreck
And everything that I do now is meaningless
So I'm off to wander around the world for a little bit
Without one hundred channels with nothing on the TV
And the great pessimistic unknown

So does anyone know the best way to go?
Which road that I could take to get to Mexico?
'Cause I'm so sick of living in this ditch
With only the memory in the back of my head
I'm on cruise control and the radio was on
Yeah, they were playing that song
That we both learned on our Mexican guitars
I'm on cruise control and the radio was on
They were playing that song
That we both learned on our Mexican guitars
On our Mexican guitars
On our Mexican guitars
On our Mexican guitars
On our Mexican guitars

You were my old friend"
The Menzingers,Midwestern States,After the Party,2017-02-03,"I hope this isn't a burden
Thanks for having us over
We could sleep on the couch
We could sleep on the floor
We would leave before you even noticed we were here
Even notice us at all
Been having problems with our landlord
He said he's taking us both to court
She got her hours slashed
And my unemployment's drying up fast
We both got worthless diplomas from worthless universities
Two bachelors in worthless studies
But at least it made our parents happy
And cost a whole lot of money
You said LA's only two days if we drive straight
Denver if we get tired
Said you didn't mind stopping just as long as we got out of the midwest states
The midwestern states
The midwestern states
The midwestern states
The midwestern states
But I know somewhere in Chicago where we can stay for a little
I hope this isn't a burden
Thanks for having us over
Most nights we always fall asleep with something dumb on Netflix
Some nights trash reality or kids cartoons or shitty documentaries
Not perfect but we're good together
Yeah, me, you, and our bad tattoos
Yeah, all our stick and pokes, all our inside jokes
We'll regret them when we're dead and sober
But we're still breathing and the party ain't over
You said LA's only two days if we drive straight
Denver if we get tired
Said you didn't mind stopping just as long as we got out of the midwest states
You said LA's only two days if we drive straight
Denver if we get tired
Said you didn't mind stopping just as long as we got out of the midwest states
The midwestern states
The midwestern states
The midwestern states
The midwestern states"
The Menzingers,My Friend Kyle,Rented World,2014-04-22,"We were young kids, we made a difference
We survived those churches and hospitals
Tall tales get taller, but they'll never grow old
Yours is a flame, it never goes out
A guiding light in the storm for our sinking hearts
Yours is the summer that will never end

Sleep now, it's only getting better, man
Sleep now, it's only getting better

Someday, we'll all die, some people never live
You lived the lives of a thousand men
Living from your feet, never from your knees
You are the earth, you are the sun
You are the light above, you are the air in our lungs
You are the earth beneath our feet

Sleep now, it's only getting better, man
Sleep now, it's only getting better
Sleep now, it's only getting better, man
Sleep now, it's only getting better

No, don't fade away, don't fade away
No, don't fade away, don't fade away
No, don't fade away, don't fade away
No, don't fade away, don't fade away
No, don't take him away, don't take him away
No, don't take him away, don't take him away

Sleep now, it's only getting better, man
Sleep now, it's only getting better
(No don't take him away, don't take him away)"
The Menzingers,Nice Things,On the Impossible Past,2012-02-21,"The western wall is a jumbo screen
At the gate, there is an automated teller machine
Sir, empty your pockets, please, before you
Before you file through
The king and queen foreclosed on their crowns
While the joker laughed and made his rounds
He was drunk, carrying on self-satisfied

The western walls are closing in
Are you happy, sane, are you rich, are you thin?
Dreaming their dreams? Singing songs of another time?
Is your gold so strangely acquired?
Has your name become known and desired?
Have you degenerated? Are you running out of time?

Do you want nice things? Sure you do
Do you call nice things your own?
Do you want nice things? Sure you do
Do you call nice things your own?

Do you want 'em?
Do you want to feel safe?
Do you want 'em?
Do you want to feel safe?
Do you want 'em?
Do you want to feel safe?
Do you want 'em?
Do you want to feel safe?
Want to feel safe?

Climb the wall, before the fall
Climb the wall, before the fall
Climb the wall, before the fall
Climb the wall, before the fall
Climb the wall, before the fall
Climb the wall, before the fall
(No one is waiting for, nobody's waiting)
(No one is waiting for you)"
The Menzingers,Nothing Feels Good Anymore,Rented World,2014-04-22,"I am a tiny fly, buzzing around in a field
Somewhere in the overgrowth of your memory
And at night you wander through
As the image of a former you
Searching every nook and every cranny
For the form that I'm taking

But baby, baby I'm right here!
I try to shout and scream and say
But my darling you just swat
You just swat me away
And in my greatest desperation
I dig deep into your skin
A little itch to keep the thought of me

But nothing feels good anymore
Nothing feels good anymore
Nothing feels good anymore
Nothing feels good

I'm at the party in a cloud of nicotine
Exhaled by drunk twentysomethings
There's a couple arguing in the bathroom
A couple kids just trying to get high
I try to make my way outside
'Cause I've got to see you tonight
I start pacing then running

""But baby, baby buzz me in!""
I ring your intercom and say
But you just poke your head through the curtain
And my heart's on the floor

But nothing feels good anymore
Nothing feels good anymore
Nothing feels good anymore
Nothing feels good

Like the dead cat in the alley
Like the garbage overturned
Like the uninviting orgy
On top of some dog shit in the yard
I had a life, I thought I had it together
I thought my house could never burn
But that was before, but that was before

Nothing feels good anymore
Nothing feels good anymore
Nothing feels good anymore
Nothing feels good

Nothing feels good anymore
Nothing feels good anymore
Nothing feels good anymore
Nothing feels good"
The Menzingers,On the Impossible Past,On the Impossible Past,2012-02-21,"We took rides in your American muscle car
I felt American, we shared our smokes
I held the wheel while you drank and drove
Our plans were miserable

And then we crashed your car
Your American muscle car
Into a ditch on Sawmill Road
There was ice on all the roads
We always dreamt of having nice things
Having nice things"
The Menzingers,Portland,Hello Exile,2019-10-04,"We're two strings shaking in a minor chord
We're survivors of life but we're prisoners of war
It was recklessness, what we came here for
Started on the bed ended up on the floor
We're two strings shaking in a minor chord
Oh Allison I love you, but I can't change the past

Bring the part of me you love back
Bring the part of me you love back
The part of me you love back
Bring the part of me you love back
The part of me you love back

You wake up shaking in the middle of the night
A voice from the past back looking for a fight
Seize your sorrow, breathe with me
The pause between is all we need
They say it hurts til it doesn't
You said ""the future is unwritten, let the past stay in the past""

Bring the part of me you love back
Bring the part of me you love back
The part of me you love back
Bring the part of me you love back
The part of me you love back
(Cheap champagne and roses
I know one day you'll notice)
Bring the part of me you love back
Bring the part of me you love back
The part of me you love back
Bring the part of me you love back
The part of me you love back"
The Menzingers,Rodent,Rented World,2014-04-22,"I wanna be more discreet, I want 'em all to quit following me
In the walls held captive, lives a mouse
I don't have the guts to kick him out
In the bars where I live, lives someone
Who I would've hated when I was young
When I swore life had a purpose
When I was sure the whole things worth it
Damn the days we took for granted
Never again will I let anyone close to me

Me and the rodent in the wall have more in common after all

So burn the fucker down, I don't care anymore
I'll let it all go
Cause if this is what you want, I understand
Good luck with the guilt left on your hands
I've tried running, I've tried hiding
I've tried everything but dying
Damn the days we took for granted
Never again will I let anyone close to me

Yeah, me and the rodent in the wall have more in common after all
Me and the rodent in the wall, we have more in common after all

I am only bad news
I am only bad news, news for you"
The Menzingers,Sculptors and Vandals,On the Impossible Past,2012-02-21,"I remember, when you came around
I was younger
Burning statues to the ground
Now I'm older and tired
I no longer see the differences

I remember the taste of the fruit
Disremember all we knew
Said we wanted to be interesting
Then we fell asleep

These days you'll find me where the nectar's plenty
Looks are cheap and the talk is heavy
Where liars lie to themselves
Liars lie to themselves
I remember

You said, ""Sometimes I need you around""
And you said that my conveniences are so convenient
You said you wanted to be interesting
Then you fell asleep

These days you'll find me where the nectar's plenty
Looks are cheap and the talk is heavy
Liars lie to themselves
Liars lie to themselves

Walk home single, seeing double (x4)"
The Menzingers,Strain Your Memory,Hello Exile,2019-10-04,"May the highways cross their fingers and hope
That we may one day find ourselves home
She sticks her head outside the passenger window
Sighs as traffic stops and goes
It’s been two weeks now living in this southern town
We hoped the change would change our restless minds
A little rewind to a simpler time
I swear it’s temporary living in this cheap motel
Somewhere in the bible belt
We made love at that Marietta Motel 6
You fell asleep on my shoulder of commitment
Took it as a sign everything would be fine
Sometimes it takes these kind of nights just to realize
How we want to spend the rest of our lives

Could a diamond in the rough ever be enough
I’ve been mining for your love
Since the day that we met I’ve spent every second in your minefield digging it up
Can you strain your memory back to the times
When trouble wasn’t always, always on our minds
Trouble wasn’t always on our minds
Back to the times when trouble wasn’t always on our minds

And now the hotel maids were bangin’ down the door
As if they came looking for some answers
When ya gonna leave? Where ya gonna go?
Will you get your shit together?
When are you gonna marry her?
Well maybe you don’t deserve her
Maybe the whole thing was doomed from the start
This inquisition is tearing me apart

Could a diamond in the rough ever be enough
I’ve been mining for your love
Since the day that we met I’ve spent every second in your minefield digging it up
Can you strain your memory back to the times
When trouble wasn’t always on our minds
Can you strain your memory one more time
When trouble wasn’t always, always on our minds
When trouble wasn’t always on our minds
Back to the times when trouble wasn’t always on our minds"
The Menzingers,Strangers Forever,Hello Exile,2019-09-18,"My inner monologue is writing
S.O.S  on deserted Islands
And  there's no one out there to read the signs
Just distant oceans and great blue skies

But my miserable memory is making me more miserable
My  mundane mind is waiting on some kind of miracle

Maybe  it's for the better we both stay strangers forever
Maybe it's for the best we pretend like we never met
Forget  everything that we've ever known
Maybe it's for the better we both stay strangers forever
Strangers forever, strangers forever, strangers forever

Well I built a raft out of total desperation
And  I got kidnapped by a pirate nation
Now somewhere out there I ramble and roar
You wouldn't recognize me anymore
But if I come into your periphery
Please just act like you don't see me
Out here looking for a glimpse of shore
A mirage of the life that we had before

Maybe it's for the better we both stay strangers forever
Maybe it's for the best we pretend like we never met
Forget everything that we've ever known
Maybe it's for the better we both stay strangers forever
Strangers forever, strangers forever
Strangers forever, strangers forever
Strangers forever, strangers forever
Strangers forever"
The Menzingers,Strawberry Mansion,Hello Exile,2019-10-04,"Hurtling toward the earth
Set the atmosphere on fire
We'll put another notch in the Kuiper
Climb down from the trees to die from a disease
Brought back from the dead by the liars

I don't mind, I'll stay behind

Transmission in static, the silent monastic
Exiled to an island of plastic
Waiting on translation, the fool's coronation
A permanent summer vacation

I don't mind, I'll stay behind

Set a course for the sun
To bittersweet oblivion
The time has come, the rain has gone
Back to hell where we belong

The games we've been playing
The real estate is changing
The mountains and rivers to lake beds
Concrete to dust
Iron to rusted statues reign over the ocean

I don't mind, I'll stay behind

Set a course for the sun
To bittersweet oblivion
The time has come, the rain has gone
Back to hell where we belong

Set a course for the sun
To bittersweet oblivion
The time has come, the rain has gone
Back to hell where we belong"
The Menzingers,Sun Hotel,On the Impossible Past,2012-02-21,"I remember you well at the Sun Hotel
Where we were waiting impatiently
For a decent night's sleep
It's like I've landed in the rubble of my past life
And I never seem to board a return flight
From the shame, the fear, the guilt that's tough to mention
The kind that always pry your eyelids open
And I'm pretty sure this corner of the world
Is the loneliest corner in the whole world
Maybe it's me or the bartender
This Budweiser or the other customers
When all eyes are glued on the 6 o'clock news
For another fire and another impending deer season
I will leave you alone
And you will leave me alone
I remember you well at the Sun Hotel
Where we were waiting impatiently
For a decent night's sleep
I remember you well at the Sun Hotel
Where we were running out of money
Where we were grinding down our teeth"
The Menzingers,Tellin’ Lies,After the Party,2017-02-03,"Oh yeah, oh yeah, everything is terrible
When buying marijuana makes you feel like a criminal
When your new friends take a joke too literal
Making you feel like the bad guy
Where are we gonna go now that our twenties are over?
Oh yeah, oh yeah, all hope abandoned
I'm not young enough to be a companion
Not old enough to be a guide
What a cliche, time to try
Where are we gonna go now that our twenties are over?
Where are we gonna go now that our twenties are over?
Where are we gonna go now that our twenties are over?
Where are we gonna go now that our twenties are over?
Everyone's asking me over and over
The decade taken hostage by my own guilty conscience
When you gonna quit this nonsense?
Everyone's asking me over and over
But I don't mind telling lies
Oh yeah, oh yeah, let's go to Vegas
Put it all on black and get married by Elvis
If we wake up broke, we'll be fine
We'll get rich in another lifetime
Where are we gonna go now that our twenties are over?
Where are we gonna go now that our twenties are over?
Where are we gonna go now that our twenties are over?
Where are we gonna go now that our twenties are over?
Everyone's asking me over and over
The decade taken hostage by my own guilty conscience
When you gonna quit this nonsense?
Everyone's asking me over and over
But I don't mind telling lies, lies
Like tension you can cut with a knife
Like a wedding ring that never fit right
Like a car alarm that won't stop howling
A decade lost in the motions to romance and cheap whiskey
The subtle sound of a fleeting feeling
Like four chords that don't love you no more
In a motel room, a sleeping bag on the floor
Is it wrong to say that things can change?
Is it wrong to say that things can change? (Telling lies)
Is it wrong to say that things can change? (Telling lies)
Is it wrong to say that things can change? (Telling lies)
Is it wrong to say that things can change? (Telling lies)
Is it wrong to say that things can change? (Telling lies)
Is it wrong to say that things can change? (Telling lies)
Is it wrong to say that things can change? (Telling lies)"
The Menzingers,The Bars,After the Party,2017-02-03,"Sunken eyes and strangers' faces
I fall asleep in the strangest places
What the hell am I doing?
Where have my friends gone?
Can't stand these people no more
But you cannot leave when you can't find the door
Smashed my phone, lost my wallet
Who's this new friend of mine?
Why do some people make you nervous
And others drive you to drink when the bars are closing?
Nightstand memorial to past libation
A sudden fear of phone vibrations
Too hung over to sleep
Too tired to stay alive
Benzos, bile, and bills
There's so much missing time to kill
I shake like an airplane on its way down
Why do some people make you nervous
And others drive you to drink when the bars are closing?
When the bars are closing
No good'll come from stumbling home with the sun
No good'll come from stumbling home with the sun
I used to care
Now I stare into the sunken eyes and strangers' faces
I fall asleep in the strangest places
What the hell am I doing?
Where have my friends gone?
Why do some people make you nervous
And others drive you to drink when the bars are closing?
When the bars are closing"
The Menzingers,The Freaks,The Freaks (Single),2018-10-23,"My medicine puts you to sleep
I carried you in, you chewed up my sleeve
Oh well, oh well
We're at it again, been laid up for days
Cursing the sun, yeah, we’re praying for rain
Oh well, oh well

Don't wanna fall asleep
Go on and call the police
Turn us in, we're the freaks
Yeah, we’re Adam and Eve
In the garden, we'll start over
Take your medicine

Your medicine keeps me awake
We tore up the house, we got carried away
Oh well, oh well
We're at it again, we've been up for days
You said you're in love but you ain't changing your name
Oh well, oh well

Don't wanna fall asleep
Go on and call the police
Turn us in, we're the freaks
Yeah, we’re Adam and Eve
In the garden, we’ll start over
Take your medicine

Year-old mushrooms you found in the freezer
Stormed outside, I became a believer
And telekinesis in your rambling thesis
The leaves on the trees, they were whispering

Don't wanna fall asleep
Go on and call the police
Turn us in, we’re the freaks
Yeah, we're Adam and Eve
In the garden, we'll start over
We'll get it right"
The Menzingers,The Obituaries,On the Impossible Past,2012-02-21,"We stumbled and stared at the carnival lights
That lit up New York City
From a rooftop in Brooklyn
That was covered in bad graffiti
And then I let a thousand splinters
Pierce right through my spoiled liver
Whatever that was left of it

Cause I cursed my lonely memory
With picture-perfect imagery
Maybe I'm not dying
I'm just living in decaying cities
But I'm still healthy, I'm still fine
I've been spending all my time
Reading the obituaries

But I will fuck this up, I fucking know it
I will fuck this up, I fucking know it
I will fuck this up, I fucking know it
I will fuck this up, I fucking know it

Cause I am the shadow of the waxwing, slain
I felt the false azure from window panes
I am just freaking out, yeah I'll be fine

But I will fuck this up, I fucking know it
I will fuck this up, I fucking know it
I will fuck this up, I fucking know it
I will fuck this up, I fucking know it"
